Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Saturday,Unknown,Female,Advanced,Employee,Advanced,Lorry,Advanced_Exp,No defect,Other,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,4
Saturday,Adult,Male,Middle,Employee,Advanced,Public,Advanced_Exp,No defect,Undivided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,4
Saturday,Young_Adult,Male,Elementary,Owner,Beginner,Public,Advanced_Exp,No defect,Other,Unknown,Dry,Darkness,Inanimated_Objects,3,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Saturday,Young_Adult,Male,Unknown,Unknown,Unknown,Automobile,Unknown,No defect,Divided_Two-way,Unknown,Dry,Darkness,Vehicles,3,2,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,17
Saturday,Adult,Male,Middle,Employee,Expert,Pick up,Unknown,No defect,Divided_Two-way,Unknown,Dry,Darkness,Inanimated_Objects,3,2,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,17
Sunday,Young_Adult,Male,Middle,Unknown,Unknown,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Unknown,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,23
Sunday,Adult,Male,Middle,Employee,Beginner,Other,Unknown,No defect,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,2,1,Other,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,23
Thursday,Unknown,Male,Middle,Owner,Intermediate,Unknown,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Other,2,1,Forward,Pedestrian,3,Pedestrian,Other,Slight Injury,14
Thursday,Adult,Male,Unknown,Employee,Unknown,Automobile,Advanced_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Animated_Objects,2,1,Unknown,Pedestrian,2,No_pedestrian,Changing_lane,Slight Injury,14
Monday,Underage,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,6,Turn,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,16
Monday,Adult,Male,Middle,Owner,Intermediate,Pick up,Advanced_Exp,No defect,One-way,Y,Dry,Daylight,Vehicles,2,6,Backward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,16
Monday,Adult,Male,Middle,Employee,Advanced,Lorry,Unknown,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,6,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,16
Monday,Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Unknown,Y,Dry,Daylight,Animated_Objects,2,6,Other,Unknown,0,No_pedestrian,No_distance,Slight Injury,16
Monday,Adult,Male,Middle,Employee,Beginner,Unknown,Valid_Recent_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,6,Backward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,16
Thursday,Young_Adult,Male,Middle,Employee,Advanced,Lorry,Unknown,Unknown,Divided_Two-way,No_junction,Not dry,Darkness,Other,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,0
Thursday,Older_Adult,Male,Middle,Employee,Intermediate,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,1,Other,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,0
Wednesday,Young_Adult,Male,Elementary,Employee,Advanced,Lorry,Moderate_Exp,No defect,Other,No_junction,Dry,Daylight,Other,2,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,15
Wednesday,Adult,Male,Advanced,Owner,Advanced,Pick up,Advanced_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Other,2,1,Forward,Unknown,0,No_pedestrian,Other,Serious Injury,15
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Pick up,Valid_Recent_Exp,No defect,One-way,No_junction,Dry,Darkness,Other,2,1,Forward,Pedestrian,3,Pedestrian,Other,Slight Injury,3
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,Unknown,One-way,No_junction,Dry,Darkness,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Other,Slight Injury,3
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Advanced_Exp,No defect,Divided_Two-way,Other,Dry,Darkness,Vehicles,3,6,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,22
Saturday,Young_Adult,Male,Middle,Employee,Advanced,Unknown,Advanced_Exp,No defect,Divided_Two-way,Other,Dry,Darkness,Inanimated_Objects,3,6,Stop,Pedestrian,3,No_pedestrian,Changing_lane,Slight Injury,22
Saturday,Unknown,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,No defect,Divided_Two-way,Other,Dry,Darkness,Inanimated_Objects,3,6,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,22
Saturday,Unknown,Male,Middle,Owner,Intermediate,Automobile,Unknown,No defect,Divided_Two-way,Other,Dry,Darkness,Vehicles,3,6,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,22
Saturday,Unknown,Male,Middle,Owner,Intermediate,Public,Moderate_Exp,No defect,Divided_Two-way,Other,Dry,Darkness,Vehicles,3,6,Backward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,22
Saturday,Unknown,Male,Unknown,Employee,Unknown,Lorry,Moderate_Exp,No defect,One-way,Other,Dry,Darkness,Vehicles,3,6,Forward,Pedestrian,3,No_pedestrian,Changing_lane,Slight Injury,22
Saturday,Unknown,Male,Middle,Owner,Beginner,Public,Valid_Recent_Exp,No defect,Undivided_Two-way,Other,Dry,Darkness,Vehicles,3,6,Forward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,22
Tuesday,Underage,Male,Middle,Unknown,Beginner,Unknown,Advanced_Exp,Unknown,Other,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,17
Thursday,Older_Adult,Male,Middle,Employee,Beginner,Unknown,Advanced_Exp,No defect,Unknown,Y,Not dry,Darkness,Other,2,2,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Thursday,Young_Adult,Male,Advanced,Employee,Beginner,Automobile,Advanced_Exp,No defect,Undivided_Two-way,Y,Not dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,20
Monday,Older_Adult,Male,Middle,Employee,Expert,Automobile,Unknown,No defect,Other,Y,Dry,Daylight,Inanimated_Objects,1,1,Backward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,16
Wednesday,Unknown,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Other,No_junction,Dry,Daylight,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,17
Wednesday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Other,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Friday,Adult,Male,Advanced,Unknown,Intermediate,Public,Unknown,Unknown,Unknown,Crossing,Dry,Daylight,Vehicles,1,1,Backward,Pedestrian,3,Pedestrian,No_distance,Serious Injury,9
Thursday,Adult,Male,Middle,Employee,Expert,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,7
Thursday,Adult,Male,Elementary,Employee,Advanced,Public,Advanced_Exp,No defect,Other,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,7
Monday,Unknown,Male,Middle,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,Other,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,8
Friday,Underage,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,18
Friday,Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,No defect,Other,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Saturday,Unknown,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,10
Saturday,Older_Adult,Male,Advanced,Employee,Expert,Public,Moderate_Exp,No defect,One-way,Y,Dry,Daylight,Other,2,1,Forward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,10
Sunday,Unknown,Female,Advanced,Employee,Intermediate,Unknown,Advanced_Exp,No defect,Other,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,23
Wednesday,Adult,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,One-way,No_junction,Dry,Daylight,Vehicles,6,2,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,13
Wednesday,Underage,Male,Middle,Employee,Unknown,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,6,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,13
Wednesday,Older_Adult,Male,Unknown,Unknown,Unknown,Lorry,Unknown,No defect,Other,No_junction,Dry,Daylight,Animated_Objects,6,2,Other,Unknown,0,No_pedestrian,No_distance,Slight Injury,13
Thursday,Unknown,Male,Middle,Employee,Intermediate,Unknown,Advanced_Exp,No defect,One-way,Other,Dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,19
Thursday,Underage,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,One-way,Other,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,19
Friday,Older_Adult,Male,Middle,Employee,Intermediate,Unknown,Advanced_Exp,No defect,Undivided_Two-way,Other,Dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Other,Slight Injury,6
Friday,Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Other,Other,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,6
Thursday,Adult,Male,Middle,Employee,Beginner,Unknown,Unknown,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,2,Backward,Unknown,0,No_pedestrian,No_distance,Slight Injury,18
Thursday,Young_Adult,Male,Middle,Employee,Advanced,Lorry,Unknown,Unknown,Other,No_junction,Dry,Darkness,Inanimated_Objects,2,2,Unknown,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Saturday,Older_Adult,Male,Elementary,Employee,Unknown,Automobile,Advanced_Exp,No defect,Other,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Sunday,Unknown,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,3,Backward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,11
Sunday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,3,Other,Unknown,0,No_pedestrian,No_distance,Slight Injury,11
Sunday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,Unknown,Other,No_junction,Dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,11
Sunday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Unknown,No defect,Other,No_junction,Dry,Daylight,Vehicles,2,3,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,11
Thursday,Young_Adult,Male,Middle,Owner,Advanced,Automobile,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,6,2,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Beginner,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,6,2,Backward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Thursday,Older_Adult,Male,Middle,Employee,Expert,Unknown,Advanced_Exp,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,6,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Thursday,Young_Adult,Male,Middle,Employee,Beginner,Unknown,Unknown,No defect,Other,Y,Dry,Daylight,Vehicles,6,2,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Friday,Unknown,Female,Middle,Employee,Intermediate,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,1,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,22
Tuesday,Unknown,Male,Middle,Employee,Expert,Pick up,Moderate_Exp,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Pedestrian,3,No_pedestrian,Other,Slight Injury,8
Thursday,Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,2,Other,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,9
Thursday,Unknown,Male,Elementary,Employee,Advanced,Automobile,Moderate_Exp,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,2,Unknown,Pedestrian,3,No_pedestrian,No_distance,Slight Injury,9
Thursday,Unknown,Male,Unknown,Unknown,Unknown,Public,Unknown,Unknown,Other,Crossing,Dry,Daylight,Vehicles,2,2,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,9
Friday,Unknown,Female,Elementary,Employee,Beginner,Public,Unknown,With defect,Other,Y,Dry,Daylight,Vehicles,1,1,Turn,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,9
Wednesday,Adult,Male,Elementary,Employee,Advanced,Lorry,Advanced_Exp,Unknown,Other,Other,Dry,Daylight,Inanimated_Objects,1,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Wednesday,Underage,Male,Elementary,Employee,Advanced,Automobile,Advanced_Exp,With defect,Other,No_junction,Not dry,Daylight,Vehicles,2,1,Backward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,8
Wednesday,Young_Adult,Male,Middle,Employee,Beginner,Other,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Other,Slight Injury,8
Saturday,Unknown,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,16
Saturday,Underage,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Other,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,16
Sunday,Unknown,Male,Middle,Employee,Intermediate,Automobile,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Animated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,20
Sunday,Young_Adult,Male,Middle,Employee,Beginner,Other,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Monday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,10
Tuesday,Unknown,Male,Middle,Employee,Beginner,Automobile,Unknown,Unknown,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,19
Tuesday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Valid_Recent_Exp,Unknown,Undivided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,9
Tuesday,Older_Adult,Male,Middle,Owner,Advanced,Automobile,Advanced_Exp,Unknown,Divided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,9
Tuesday,Young_Adult,Male,Unknown,Owner,Advanced,Public,Advanced_Exp,No defect,Undivided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,9
Sunday,Young_Adult,Male,Middle,Employee,Advanced,Unknown,Moderate_Exp,No defect,One-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,18
Sunday,Underage,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Other,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,18
Sunday,Young_Adult,Male,Advanced,Employee,Advanced,Lorry,Moderate_Exp,Unknown,Divided_Two-way,No_junction,Not dry,Darkness,Animated_Objects,1,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,3
Sunday,Young_Adult,Male,Middle,Employee,Expert,Unknown,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,1,2,Turn,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,3
Monday,Older_Adult,Male,Middle,Employee,Beginner,Public,Moderate_Exp,Unknown,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,12
Monday,Adult,Male,Elementary,Employee,Advanced,Unknown,Unknown,No defect,One-way,Crossing,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,12
Saturday,Young_Adult,Male,Elementary,Employee,Intermediate,Public,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,3,Forward,Pedestrian,3,No_pedestrian,No_distance,Serious Injury,12
Saturday,Adult,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,2,3,Turn,Driver or rider,3,No_pedestrian,Other,Serious Injury,12
Saturday,Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Unknown,No_junction,Dry,Daylight,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,Other,Serious Injury,12
Tuesday,Unknown,Female,Middle,Employee,Intermediate,Unknown,Valid_Recent_Exp,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,6
Tuesday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,6
Friday,Young_Adult,Male,Middle,Employee,Expert,Lorry,Advanced_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,15
Friday,Older_Adult,Male,Middle,Employee,Beginner,Public,Unknown,Unknown,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Turn,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,15
Friday,Older_Adult,Male,Middle,Employee,Intermediate,Lorry,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,6
Friday,Adult,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,6
Tuesday,Underage,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,No defect,Other,Y,Not dry,Daylight,Inanimated_Objects,3,1,Backward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,8
Tuesday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,Divided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,8
Tuesday,Young_Adult,Male,Middle,Employee,Expert,Other,Valid_Recent_Exp,Unknown,Undivided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Backward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,8
Sunday,Unknown,Female,Middle,Employee,Beginner,Public,Moderate_Exp,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,13
Thursday,Unknown,Female,Middle,Employee,Intermediate,Lorry,Unknown,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,9
Thursday,Adult,Male,Elementary,Employee,Intermediate,Unknown,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Other,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,9
Monday,Young_Adult,Male,Elementary,Unknown,Advanced,Unknown,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,16
Monday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,Unknown,Divided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,3,Turn,Unknown,0,No_pedestrian,No_distance,Serious Injury,16
Monday,Adult,Male,Middle,Owner,Advanced,Lorry,Moderate_Exp,Unknown,One-way,No_junction,Not dry,Daylight,Inanimated_Objects,2,3,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,16
Thursday,Adult,Male,Middle,Employee,Expert,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Other,Serious Injury,17
Friday,Adult,Male,Middle,Employee,Beginner,Pick up,Unknown,Unknown,Other,No_junction,Not dry,Darkness,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,6
Friday,Older_Adult,Male,Middle,Unknown,Beginner,Lorry,Advanced_Exp,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,3,1,Forward,Pedestrian,3,No_pedestrian,Driving_carelessly,Slight Injury,6
Friday,Adult,Male,Middle,Employee,Expert,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Inanimated_Objects,3,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,6
Friday,Young_Adult,Male,Middle,Owner,Advanced,Other,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Inanimated_Objects,3,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,6
Friday,Adult,Male,Elementary,Owner,Advanced,Other,Valid_Recent_Exp,No defect,One-way,No_junction,Not dry,Darkness,Vehicles,3,1,Stop,Pedestrian,3,No_pedestrian,Other,Slight Injury,6
Thursday,Unknown,Female,Middle,Employee,Intermediate,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,1,Turn,Driver or rider,3,No_pedestrian,Other,Slight Injury,8
Thursday,Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,Unknown,Undivided_Two-way,No_junction,Not dry,Daylight,Inanimated_Objects,2,1,Stop,Unknown,0,No_pedestrian,Other,Slight Injury,8
Saturday,Adult,Male,Advanced,Employee,Advanced,Automobile,Unknown,No defect,Other,Y,Dry,Darkness,Inanimated_Objects,2,2,Backward,Pedestrian,3,Pedestrian,No_distance,Slight Injury,20
Saturday,Adult,Male,Middle,Owner,Intermediate,Lorry,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,2,Backward,Pedestrian,3,No_pedestrian,Other,Slight Injury,20
Saturday,Young_Adult,Male,Unknown,Unknown,Unknown,Other,Advanced_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,10
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,3,6,Turn,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,20
Saturday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,Unknown,One-way,No_junction,Dry,Daylight,Inanimated_Objects,3,6,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,20
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Pick up,Moderate_Exp,No defect,One-way,No_junction,Dry,Daylight,Vehicles,3,6,Forward,Pedestrian,3,No_pedestrian,Other,Serious Injury,20
Saturday,Young_Adult,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,3,6,Turn,Unknown,0,No_pedestrian,Changing_lane,Serious Injury,20
Saturday,Young_Adult,Male,Middle,Employee,Unknown,Public,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,3,6,Forward,Driver or rider,3,No_pedestrian,No_distance,Serious Injury,20
Saturday,Unknown,Male,Middle,Owner,Beginner,Lorry,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Other,3,6,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,20
Saturday,Unknown,Male,Middle,Employee,Intermediate,Automobile,Unknown,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,3,6,Turn,Driver or rider,3,No_pedestrian,No_distance,Serious Injury,20
Saturday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,One-way,Y,Dry,Daylight,Vehicles,2,2,Stop,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,11
Saturday,Older_Adult,Male,Elementary,Employee,Expert,Other,Moderate_Exp,No defect,One-way,Y,Dry,Daylight,Animated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,11
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,16
Monday,Underage,Male,Middle,Employee,Intermediate,Lorry,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Stop,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,16
Monday,Adult,Male,Middle,Employee,Intermediate,Public,Moderate_Exp,Unknown,Divided_Two-way,Other,Dry,Daylight,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,16
